Contenido_grasa;Laboratorio;Tecnico;Muestra
62;I;1;1
55;I;1;1
34;I;1;2
24;I;1;2
80;I;2;3
68;I;2;3
76;I;2;4
65;I;2;4
30;II;1;1
40;II;1;1
33;II;1;2
43;II;1;2
39;II;2;3
40;II;2;3
29;II;2;4
18;II;2;4
46;III;1;1
38;III;1;1
27;III;1;2
37;III;1;2
37;III;2;3
42;III;2;3
45;III;2;4
54;III;2;4
18;IV;1;1
47;IV;1;1
53;IV;1;2
32;IV;1;2
40;IV;2;3
37;IV;2;3
31;IV;2;4
43;IV;2;4
35;V;1;1
39;V;1;1
37;V;1;2
33;V;1;2
42;V;2;3
36;V;2;3
20;V;2;4
41;V;2;4
37;VI;1;1
43;VI;1;1
28;VI;1;2
36;VI;1;2
18;VI;2;3
20;VI;2;3
26;VI;2;4
6;VI;2;4
